Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2020-100001,12/08/2020,12/14/2020,Standard Class,HO-11559,Craig Turner,Home Office,United States,Mesa,Arizona,85201,West,OFF-LA-96963179,Office Supplies,Labels,Avery 510 Labels,415.51,1,0.0,13.55
2,US-2020-100001,12/08/2020,12/14/2020,Standard Class,HO-11559,Craig Turner,Home Office,United States,Mesa,Arizona,85201,West,OFF-AR-15301358,Office Supplies,Art,Dixon Prang Crayons,443.9,5,0.15,140.84
3,US-2020-100001,12/08/2020,12/14/2020,Standard Class,HO-11559,Craig Turner,Home Office,United States,Mesa,Arizona,85201,West,OFF-EN-58410263,Office Supplies,Envelopes,#10 White Envelopes,304.36,3,0.0,-9.21
4,US-2020-100001,12/08/2020,12/14/2020,Standard Class,HO-11559,Craig Turner,Home Office,United States,Mesa,Arizona,85201,West,OFF-BI-41664126,Office Supplies,Binders,Wilson Jones Binder,3865.95,10,0.15,837.73
5,US-2021-100002,04/20/2021,04/25/2021,Standard Class,HO-10512,Amy Scott,Home Office,United States,Las Vegas,Nevada,89101,West,TEC-PH-65415449,Technology,Phones,Plantronics Headset,32534.57,12,0.2,6900.97
6,US-2021-100002,04/20/2021,04/25/2021,Standard Class,HO-10512,Amy Scott,Home Office,United States,Las Vegas,Nevada,89101,West,OFF-EN-77530144,Office Supplies,Envelopes,Manila Clasp Envelopes,597.16,3,0.1,244.46
7,US-2021-100002,04/20/2021,04/25/2021,Standard Class,HO-10512,Amy Scott,Home Office,United States,Las Vegas,Nevada,89101,West,OFF-LA-93548084,Office Supplies,Labels,Avery Round Labels,1962.09,12,0.2,651.93
8,US-2021-100002,04/20/2021,04/25/2021,Standard Class,HO-10512,Amy Scott,Home Office,United States,Las Vegas,Nevada,89101,West,OFF-AR-53860083,Office Supplies,Art,Newell Pens,320.46,1,0.0,22.49
9,US-2021-100002,04/20/2021,04/25/2021,Standard Class,HO-10512,Amy Scott,Home Office,United States,Las Vegas,Nevada,89101,West,OFF-AR-54807180,Office Supplies,Art,Fiskars Scissors,1039.27,11,0.15,344.31
10,US-2022-100003,06/24/2022,06/30/2022,Standard Class,CO-10056,Sam Wright,Consumer,United States,Cincinnati,Ohio,45201,Central,OFF-AP-95676088,Office Supplies,Appliances,Hoover Stove,2476.41,5,0.0,1107.76
11,US-2022-100003,06/24/2022,06/30/2022,Standard Class,CO-10056,Sam Wright,Consumer,United States,Cincinnati,Ohio,45201,Central,FUR-CH-92117696,Furniture,Chairs,Office Star Chair,2546.31,2,0.0,-376.18
